fi-9;Ненавязчивая музыка
fn-10/9;Тяжёлая музыка
fi-14;Можно навынос
fn-87/14;Нельзя на вынос
fi-16;Есть живая музыка
fn-88/16;Нет живой музыки
fi-17;Есть настольный футбол
fn-89/17;Нет настольного футбола
fi-18;Бесплатная вода
fn-90/18;Платная вода
fi-19;Можно заказать напиток не из меню
fn-93/19;Напитки только из меню
fi-21;Принт на стенах
fn-91/21;Нет принта на стенах
fi-22;Можно сидеть после закрытия
fn-97/22;Выгоняют после закрытия
fi-23;Требуется QR-код
fn-30/23;Не требуется QR-код
fi-24;Есть кальян
fn-92/24;Нет кальяна
fi-25;Есть снеки
fn-94/25;Нет снеков
fi-26;Можно поужинать
fn-95/26;Нельзя поужинать
fi-27;Разговорчивый бармен
fn-96/27;Бармен не очень
fi-28;Милые официанты
fn-98/28;Обычные официанты
fi-33;Можно забронировать стол
fn-99/33;Нельзя забронировать стол
fi-36;Можно заказать доставку еды
fn-100/36;Нельзя заказать доставку еды
fi-12;Есть розетки
fn-101/12;Нет розеток
fi-13;Есть Wi-Fi
fn-102/13;Нет WIFI
fia-1;Лонг дринки
fia-2;Крепкие напитки
fia-3;Пиво
fia-4;Cидр
fia-5;Вино
fib-6;Посидеть на сотку
fib-7;Посидеть на стипендию
fib-8;Посидеть на зарплату
fil-39;Располагается на западном
fil-40;Располагается на северном
fil-41;Располагается на центрe
fic-68;В одиночку
fic-31;Большая компания
fic-32;Вдвоем
fic-66;Компания до 4 человек
ff-73;Бар Пив&ко
ff-103;Бар Пивноff
ff-42;Бар Есенин
ff-43;Бар O.W.Grant
ff-44;Бар Сияние
ff-45;Бар Мистер Fox
ff-46;Бар Дрова
ff-47;Бар Hops
ff-48;Бар Свой Бар
ff-49;Бар Эйнштейн
ff-50;Бар Пинта
ff-51;Бар Добрый Эль
ff-52;Бар Немец Перец Колбаса
ff-53;Бар Голодранец
ff-54;Бар 1984
ff-55;Бар Квадрюпель
ff-56;Бар Красный Крокодил
ff-57;Бар Шамайка
ff-58;Бар Коррида
ff-59;Бар London Pub
ff-60;Бар St. Patrick’s Pub
ff-61;Бар Mozart Wine House
ff-62;Бар Шкипер
ff-63;Бар Mojo
ff-64;Бар Чёрный кот
f-69;Большой бар
f-70;Бар с парой больших столов
f-71;Бар только с маленькими столиками
f-72;Бар без столиков
f-74;Дешёвый бар
f-75;Бар средней ценовой категории
f-76;Элитный бар
f-77;Хочется напиться
f-78;Хочется просто расслабиться
f-79;Хочется весело провести время с друзьями
f-80;Хочется (прости господи) поработать
f-67;Хочется просто посидеть одному в баре
f-81;Слабоалкогольные напитки
f-82;Сидрерия
f-83;Пивной бар
f-84;Коктейльный бар
f-85;Винный бар
f-86;Бар широкого профиля
